name,region,party,turnout,total,LIB,CON,NDP,BQ,GRN,PPC,IND
Kingston and the Islands,ON,LIB,0.705,68193,31205,13304,15856,,6059,1769,
King—Vaughan,ON,LIB,0.649,63848,28725,27584,4297,,2511,731,
Kitchener Centre,ON,LIB,0.671,55374,20316,13191,6238,,14394,1033,
Kitchener South—Hespeler,ON,LIB,0.66,52233,20986,17480,6945,,5671,1005,
Kitchener—Conestoga,ON,LIB,0.696,51535,20480,20115,5204,,4946,790,
Lambton—Kent—Middlesex,ON,CON,0.666,58412,14814,28651,9355,,3463,1804,
Lanark—Frontenac—Kingston,ON,CON,0.725,62481,15441,30077,8835,,7011,1117,
Leeds—Grenville—Thousand Islands and Rideau Lakes,ON,CON,0.698,58453,15482,28630,8201,,5152,988,
London North Centre,ON,LIB,0.673,63741,27247,15066,14887,,4872,1532,
London West,ON,LIB,0.72,71273,30622,19910,15220,,3827,1171,
